pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,9/27/2023,96.1,-2.01,5.76,"Cole, Gerrit",666182,543037,field_out,hit_into_play,,,,,1,"Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,X,6,ground_ball,1,1,2023,-0.65,1.52,-0.29,3.28,,,,2,9,Bot,118.38,158.31,,,666163,,,6.058907474,-139.7810752,-4.39555564,-10.02502589,35.04574711,-11.51105284,3.73,1.72,61,95.6,1,95.9,2332,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.06,0.4,0.364,0,1,0,0,4,68,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,212,0,-0.1,,
SL,9/27/2023,89.2,-2.05,5.77,"Cole, Gerrit",666182,543037,,ball,,,,,14,"Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,B,,,0,1,2023,0.42,-0.01,1.9,0.3,,,,2,9,Bot,,,,,666163,,,8.800098961,-129.4076662,-7.321305675,2.763541836,28.70195185,-30.83292243,3.66,1.71,,,,88.7,2617,6.3,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.21,,,,,,,,68,2,Slider,0,6,0,6,6,0,0,6,Strategic,Standard,137,0,0.012,,
FF,9/27/2023,96.9,-2.16,5.74,"Cole, Gerrit",666182,543037,,called_strike,,,,,8,"Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,S,,,0,0,2023,-0.77,1.42,0.17,2.12,,,,2,9,Bot,,,,,666163,,,7.982454659,-140.7331482,-7.304154798,-12.2063688,35.27587994,-11.75028824,3.72,1.76,,,,96.4,2526,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.13,,,,,,,,68,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,213,0,-0.017,,
FC,9/27/2023,91,-2.07,5.82,"Cole, Gerrit",543807,543037,field_out,hit_into_play,,,,,9,George Springer lines out to second baseman Gleyber Torres.,R,R,R,TOR,NYY,X,4,line_drive,0,0,2023,0.5,0.7,0.33,1.82,,,,1,9,Bot,138.72,131.24,,,666163,,,4.951787633,-132.3990951,-5.656886797,4.899506089,26.75166646,-22.91044781,3.64,1.67,177,92.3,11,91.2,2539,6.3,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.19,0.777,0.704,0,1,0,0,4,67,1,Cutter,0,6,0,6,6,0,0,6,Strategic,Standard,180,-0.001,-0.169,,
FF,9/27/2023,97.1,-2.1,5.83,"Cole, Gerrit",595281,543037,strikeout,swinging_strike,,,,,2,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,2,,2,2,2023,-0.59,1.49,0.06,3.25,,,,0,9,Bot,,,,,666163,,,7.163978412,-141.1248002,-4.734398848,-9.675415786,35.72079789,-11.46677964,3.45,1.64,,,,97,2475,6.6,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,53.94,,0,0,1,0,0,,66,8,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,208,-0.002,-0.214,,
KC,9/27/2023,83.9,-2.08,5.9,"Cole, Gerrit",595281,543037,,foul,,,,,8,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,2,2,2023,0.77,-1.34,0.2,1.86,,,,0,9,Bot,,,,,666163,,,3.762133288,-121.9842808,-0.12331101,6.636458988,29.88112236,-45.5437606,3.45,1.64,4,89.9,-24,83.1,2875,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.12,,,,,,,,66,7,Knuckle Curve,0,6,0,6,6,0,0,6,Infield shade,Standard,39,0,0,,
FC,9/27/2023,91.8,-2.13,5.78,"Cole, Gerrit",595281,543037,,foul,,,,,6,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,2,2,2023,0.34,1.07,0.55,2.42,,,,0,9,Bot,,,,,666163,,,6.066212332,-133.5389789,-4.995299099,2.745700211,28.64392023,-18.46251166,3.45,1.64,153,107.4,8,92,2472,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.05,,,,,,,,66,6,Cutter,0,6,0,6,6,0,0,6,Infield shade,Standard,188,0,0,,
CH,9/27/2023,89.7,-2.18,5.62,"Cole, Gerrit",595281,543037,,ball,,,,,13,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,B,,,1,2,2023,-1.29,0.78,-1.16,1.46,,,,0,9,Bot,,,,,666163,,,5.270407978,-130.4301223,-5.895208761,-15.87912838,30.23409718,-22.2249998,3.37,1.56,,,,89.7,1591,6.6,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,53.93,,,,,,,,66,5,Changeup,0,6,0,6,6,0,0,6,Infield shade,Standard,235,0,0.041,,
FF,9/27/2023,96.6,-2.04,5.8,"Cole, Gerrit",595281,543037,,foul,,,,,3,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,1,2,2023,-0.49,1.52,0.5,2.96,,,,0,9,Bot,,,,,666163,,,7.87054957,-140.4280719,-5.439595105,-8.337037166,33.94827273,-11.02227239,3.45,1.64,139,74.2,69,96.4,2479,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.1,,,,,,,,66,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,212,0,0,,
FF,9/27/2023,95.9,-2.1,5.73,"Cole, Gerrit",595281,543037,,ball,,,,,11,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,B,,,0,2,2023,-0.74,1.57,-0.71,4.07,,,,0,9,Bot,,,,,666163,,,5.357108702,-139.4862762,-2.276034109,-10.96999544,35.28375231,-11.50873202,3.19,1.53,,,,95.5,2468,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.13,,,,,,,,66,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,212,0,0.022,,
